Lemma;Cx;Cx-Prs;Verb_type1;Contingency;Contingency-Coarse;Intention;Intention-Coarse;Link_to_t0;Link_to_t0-Coarse;Temporal_proximityA;Temporal_proximityA-ORD;Speaker_certaintyD;Speaker_certaintyD-ORD;Person_animacy
start ING;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
use;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
throw;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
go eat;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;3_;3_;1st-animate
keep ING;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
start ING;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
wear;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
fuck;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
cut;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;detached;detached;1_imminent;1_imminent;1_;1_;1st-animate
stop;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
put;going_to;GT-1st;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;3_;3_;1st-animate
go make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;1st-animate
wear;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;3_;3_;1st-animate
put into practice;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
fuck;going_to;GT-1st;action verbs;contingent (when-clause);contingent ;speaker-intention;intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
study;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;2_;2_;1st-animate
find;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;2_;2_;1st-animate
keep;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;detached;detached;3_unknown;3_unknown;3_;3_;1st-animate
buy;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
take;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
buy;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
throw;going_to;GT-1st;change of possession;contingent (if-clause);contingent ;speaker-intention;intentional;detached;detached;2_proximal;2_proximal;3_;3_;1st-animate
have;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
get;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;1st-animate
start ING;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;1st-animate
get;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;1st-animate
finish;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;2_;2_;1st-animate
make;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;detached;detached;3_unknown;3_unknown;2_;2_;1st-animate
get;going_to;GT-1st;change of state;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;1st-animate
fail;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;1st-animate
die;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;1st-animate
get;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
end;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;1st-animate
do;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;2_;2_;1st-animate
learn ING;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;1st-animate
be DESCRIPT;going_to;GT-1st;change of state;contingent (otherwise);contingent ;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
go nuts;going_to;GT-1st;change of state;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
write;going_to;GT-1st;communication;contingent (if-clause);contingent ;speaker-intention;intentional;detached;detached;4_neutral;4_neutral;1_;1_;1st-animate
write;going_to;GT-1st;communication;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
ring;going_to;GT-1st;communication;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
live;going_to;GT-1st;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;1st-animate
be DESCRIPT;going_to;GT-1st;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
be LOC;going_to;GT-1st;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
be DESCRIPT;going_to;GT-1st;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have;going_to;GT-1st;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have;going_to;GT-1st;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
let;going_to;GT-1st;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
stay;going_to;GT-1st;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
have;going_to;GT-1st;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
be LOC;going_to;GT-1st;motion;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
be LOC;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
go_metaphor;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
stand;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;3_;3_;1st-animate
move out;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;detached;detached;4_neutral;4_neutral;1_;1_;1st-animate
crash;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
lie;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
go;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
sit;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
go;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
go;going_to;GT-1st;motion;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
be PASSIVE;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;2_;2_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;2_;2_;1st-animate
have to;going_to;GT-1st;obligation;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
be PASSIVE;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;2_;2_;1st-animate
have to;going_to;GT-1st;obligation;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;1st-animate
watch;going_to;GT-1st;perception;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
try;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;2_;2_;1st-animate
hate;going_to;GT-1st;psych-verbs;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
miss;going_to;GT-1st;psych-verbs;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;1_;1_;1st-animate
try;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
miss;going_to;GT-1st;psych-verbs;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
love;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
miss;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
see_try;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;detached;detached;1_imminent;1_imminent;3_;3_;1st-animate
make;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
try;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;2_;2_;1st-animate
be DESCRIPT;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
try;going_to;GT-1st;psych-verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;3_;3_;1st-animate
need;going_to;GT-1st;psych-verbs;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;1st-animate
feel;going_to;GT-1st;psych-verbs;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
be DESCRIPT;going_to;GT-1st;psych-verbs;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;1st-animate
go;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
have;going_to;GT-1st;social interaction;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
tag;going_to;GT-1st;social interaction;contingent (any/anyone);contingent ;speaker-intention;intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
write;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
play;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
have;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;detached;detached;1_imminent;1_imminent;1_;1_;1st-animate
go comment;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;2_;2_;1st-animate
see_visit;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
meet;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
get;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
meet;going_to;GT-1st;social interaction;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
kill;going_to;GT-3rd;action verbs;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;3_unknown;3_unknown;1_;1_;3rd-animate
put through;going_to;GT-3rd;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;2_;2_;3rd-animate
fight;going_to;GT-3rd;action verbs;independent;independent;subject-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;3rd-animate
try on;going_to;GT-3rd;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-animate
be PASSIVE;going_to;GT-3rd;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-animate
stop ING;going_to;GT-3rd;change of state;independent;independent;subject-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
be DESCRIPT;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-animate
be PASSIVE;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;1_;1_;3rd-animate
go off;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;4_neutral;4_neutral;1_;1_;3rd-animate
end up;going_to;GT-3rd;change of state;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-animate
drive;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
be DESCRIPT;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
be DESCRIPT;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-animate
be able to;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
tell;going_to;GT-3rd;communication;independent;independent;subject-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;3rd-animate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-animate
be LOC;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
be LOC;going_to;GT-3rd;motion;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;3rd-animate
be LOC;going_to;GT-3rd;motion;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;1_;1_;3rd-animate
be LOC;going_to;GT-3rd;motion;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-animate
have to;going_to;GT-3rd;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
have to;going_to;GT-3rd;obligation;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
have to;going_to;GT-3rd;obligation;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-animate
have to;going_to;GT-3rd;obligation;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;3_;3_;3rd-animate
make;going_to;GT-3rd;obligation;independent;independent;subject-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
take notice;going_to;GT-3rd;perception;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-animate
attempt;going_to;GT-3rd;psych-verbs;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
meet;going_to;GT-3rd;social interaction;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
sign;going_to;GT-3rd;social interaction;independent;independent;subject-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-animate
break metaphor;going_to;GT-3rd;social interaction;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;3rd-animate
be PASSIVE;going_to;GT-3rd;change of possession;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;3rd-inanimate
pick;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
light;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
destroy;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;3_;3_;3rd-inanimate
get;going_to;GT-3rd;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
help;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (imminent);attached ;1_imminent;1_imminent;3_;3_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;2_;2_;3rd-inanimate
get;going_to;GT-3rd;change of state;independent;independent;non-intentional;non-intentional;attached (within discourse);attached ;1_imminent;1_imminent;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;5_distal;5_distal;3_;3_;3rd-inanimate
stay;going_to;GT-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;3_unknown;3_unknown;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;3_;3_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
be EXIST;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
take time;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;2_;2_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;contingent (X then Y);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
be EXIST;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be EXIST;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;3_;3_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;non-intentional;non-intentional;attached (conditions in place);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
be DESCRIPT;going_to;GT-3rd;existence;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;3rd-inanimate
grind;going_to;GT-3rd;motion;contingent (otherwise);contingent ;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;1_;1_;3rd-inanimate
